Название товара|Артикул|Параметр|Значение параметра
Предохранитель автомобильный MINI-10,8X16,5MM, серый, 2 А| 520830002|Цвет|Серый
Предохранитель автомобильный MINI-10,8X16,5MM, фиолетовый, 3 А| 520830003|ШтрихКод|4045989138029
Предохранитель автомобильный MINI-10,8X16,5MM, фиолетовый, 3 А| 520830003|Артикул|520830003
Предохранитель автомобильный MINI-10,8X16,5MM, фиолетовый, 3 А| 520830003|Сила тока, макс.|3A
Предохранитель автомобильный MINI-10,8X16,5MM, фиолетовый, 3 А| 520830003|Цвет|Фиолетовый
Набор предохранителей автомобильных 5-30A-MINI, 120 штук| 5208300001|ШтрихКод|4053479662053
Набор предохранителей автомобильных 5-30A-MINI, 120 штук| 5208300001|Артикул|5208300001
Набор предохранителей автомобильных 5-30A-MINI, 120 штук| 5208300001|Сила тока, макс.|5 / 10 / 15 / 20 / 25 / 30A
Набор предохранителей автомобильных 5-30A-MINI, 120 штук| 5208300001|Цвет|Разные цвета
Предохранитель автомобильный, АТО,голубой, 15 А| 5208015|ШтрихКод|4053479462066
Предохранитель автомобильный, АТО,голубой, 15 А| 5208015|Артикул|5208015
Предохранитель автомобильный, АТО,голубой, 15 А| 5208015|Сила тока, макс.|15А
Предохранитель автомобильный, АТО,голубой, 15 А| 5208015|Цвет|Голубой
Предохранитель автомобильный, АТО,желтый, 20 А| 5208020|ШтрихКод|4053479462080
Предохранитель автомобильный, АТО,желтый, 20 А| 5208020|Артикул|5208020
Предохранитель автомобильный, АТО,желтый, 20 А| 5208020|Сила тока, макс.|20А
Предохранитель автомобильный, АТО,желтый, 20 А| 5208020|Цвет|Желтый
Предохранитель автомобильный, АТО,зеленый, 30 А| 5208030|ШтрихКод|4053479462127
Предохранитель автомобильный, АТО,зеленый, 30 А| 5208030|Артикул|5208030
Предохранитель автомобильный, АТО,зеленый, 30 А| 5208030|Сила тока, макс.|30А
Предохранитель автомобильный, АТО,зеленый, 30 А| 5208030|Цвет|Зеленый
Предохранитель автомобильный, АТО,коричневый, 5 А| 5208005|ШтрихКод|4053479462004
Предохранитель автомобильный, АТО,коричневый, 5 А| 5208005|Артикул|5208005
Предохранитель автомобильный, АТО,коричневый, 5 А| 5208005|Сила тока, макс.|5А
Предохранитель автомобильный, АТО,коричневый, 5 А| 5208005|Цвет|Коричневый
Предохранитель автомобильный, АТО,коричневый, 7,5 А| 52080075|ШтрихКод|4053479462028
Предохранитель автомобильный, АТО,коричневый, 7,5 А| 52080075|Артикул|52080075
Предохранитель автомобильный, АТО,коричневый, 7,5 А| 52080075|Сила тока, макс.|7.5А
Предохранитель автомобильный, АТО,коричневый, 7,5 А| 52080075|Цвет|Коричневый
Предохранитель автомобильный, АТО,красный, 10 А| 5208010|ШтрихКод|4053479462042
Предохранитель автомобильный, АТО,красный, 10 А| 5208010|Артикул|5208010
Предохранитель автомобильный, АТО,красный, 10 А| 5208010|Сила тока, макс.|10А
Предохранитель автомобильный, АТО,красный, 10 А| 5208010|Цвет|Красный
Предохранитель автомобильный, АТО,оранжевый, 40 А| 5208040|ШтрихКод|4053479462165
Предохранитель автомобильный, АТО,оранжевый, 40 А| 5208040|Артикул|5208040
Предохранитель автомобильный, АТО,оранжевый, 40 А| 5208040|Сила тока, макс.|40А
Предохранитель автомобильный, АТО,оранжевый, 40 А| 5208040|Цвет|Оранжевый
Предохранитель автомобильный, АТО,прозрачный, 25 А| 5208025|ШтрихКод|4053479462103
Предохранитель автомобильный, АТО,прозрачный, 25 А| 5208025|Артикул|5208025
Предохранитель автомобильный, АТО,прозрачный, 25 А| 5208025|Сила тока, макс.|25А
Предохранитель автомобильный, АТО,прозрачный, 25 А| 5208025|Цвет|Прозрачный
Предохранитель автомобильный, АТО,розовый, 4 А| 5208004|ШтрихКод|4053479461984
Предохранитель автомобильный, АТО,розовый, 4 А| 5208004|Артикул|5208004
Предохранитель автомобильный, АТО,розовый, 4 А| 5208004|Сила тока, макс.|4А
Предохранитель автомобильный, АТО,розовый, 4 А| 5208004|Цвет|Розовый
Предохранитель автомобильный, АТО,серый, 2 А| 5208002|ШтрихКод|4053479461946
Предохранитель автомобильный, АТО,серый, 2 А| 5208002|Артикул|5208002
Предохранитель автомобильный, АТО,серый, 2 А| 5208002|Сила тока, макс.|2А
Предохранитель автомобильный, АТО,серый, 2 А| 5208002|Цвет|Серый
Предохранитель автомобильный, АТО,фиолетовый, 3 А| 5208003|ШтрихКод|4053479461960
Предохранитель автомобильный, АТО,фиолетовый, 3 А| 5208003|Артикул|5208003
Предохранитель автомобильный, АТО,фиолетовый, 3 А| 5208003|Сила тока, макс.|3А
Предохранитель автомобильный, АТО,фиолетовый, 3 А| 5208003|Цвет|Фиолетовый
Набор предохранителей автомобильных 5-30A-ATO, 120штук| 5208000001|ШтрихКод|4053479662046
Набор предохранителей автомобильных 5-30A-ATO, 120штук| 5208000001|Артикул|5208000001
Набор предохранителей автомобильных 5-30A-ATO, 120штук| 5208000001|Сила тока, макс.|5 / 10 / 15 / 20 / 25 / 30 A
Набор предохранителей автомобильных 5-30A-ATO, 120штук| 5208000001|Цвет|Разные цвета
Табличка под номерной знак Twin-Fixx| 0824001|ШтрихКод|4046778655550
Табличка под номерной знак Twin-Fixx| 0824001|Артикул|0824001
Табличка под номерной знак Twin-Fixx| 0824001|Исполнение|В сборе с опорной плитой и планкой
Табличка под номерной знак Twin-Fixx| 0824001|Подходит для размера маркировки|520 x 110 мм
Табличка под номерной знак Twin-Fixx| 0824001|Высота|136 мм
Табличка под номерной знак Twin-Fixx| 0824001|Ширина|530 мм
Табличка под номерной знак Twin-Fixx| 0824001|Материал|Полипропилен (ПП) — PP
Табличка под номерной знак, черн, 520мм| 08261|ШтрихКод|4038898208617
Табличка под номерной знак, черн, 520мм| 08261|Артикул|08261
Табличка под номерной знак, черн, 520мм| 08261|Исполнение|В сборе с опорной плитой и планкой
Табличка под номерной знак, черн, 520мм| 08261|Подходит для размера маркировки|520 x 110 мм
Табличка под номерной знак, черн, 520мм| 08261|Высота|124 мм
Табличка под номерной знак, черн, 520мм| 08261|Ширина|525 мм
Табличка под номерной знак, черн, 520мм| 08261|Материал|Пластмасса
Щетка стеклоочистителя для грузовых авто, 600 мм, 4 адаптера| 5848180600|Артикул|5848180600
Щетка стеклоочистителя для грузовых авто, 600 мм, 4 адаптера| 5848180600|Длина|600 мм
Щетка стеклоочистителя для грузовых авто, 650 мм, 4 адаптера| 5848180650|Артикул|5848180650
Щетка стеклоочистителя для грузовых авто, 650 мм, 4 адаптера| 5848180650|Длина|650 мм
Щетка стеклоочистителя для грузовых авто, 700 мм, 4 адаптера| 5848180700|Артикул|5848180700
Щетка стеклоочистителя для грузовых авто, 700 мм, 4 адаптера| 5848180700|Длина|700 мм
Щетка стеклоочистителя для грузовых авто, 1000 мм, 3 адаптера| 58481811000|Артикул|58481811000
Щетка стеклоочистителя для грузовых авто, 1000 мм, 3 адаптера| 58481811000|Длина|1000 мм
Щетка стеклоочистителя для грузовых авто, 800 мм, 1 адаптер| 5848181800|Артикул|5848181800
Щетка стеклоочистителя для грузовых авто, 800 мм, 1 адаптер| 5848181800|Длина|800 мм
Щетки для стеклоочистителей, бескаркасные, 350мм-14''| 5848033350|ШтрихКод|4053479695198
Щетки для стеклоочистителей, бескаркасные, 350мм-14''| 5848033350|Артикул|5848033350
Щетки для стеклоочистителей, бескаркасные, 350мм-14''| 5848033350|Длина|350 мм
Щетки для стеклоочистителей, бескаркасные, 450мм-18''| 5848033450|ШтрихКод|4053479695211
Щетки для стеклоочистителей, бескаркасные, 450мм-18''| 5848033450|Артикул|5848033450
